match_id	hampalyzer_url	tfcstats_url
J43DGY	https://app.hampalyzer.com/parsedlogs/fun-2026-Apr-15-20-40/	https://www.tfcstats.com/pickup/fun-stuff-east-mortality-lg-apr-15-2026
GA4D39	https://app.hampalyzer.com/parsedlogs/fun-2025-Nov-15-16-50/	https://www.tfcstats.com/pickup/fun-stuff-east-monkey-lg-nov-15-2025
9FMK8M	https://app.hampalyzer.com/parsedlogs/fun-2026-Mar-30-17-51/	https://www.tfcstats.com/pickup/fun-stuff-east-snow-gutter-mar-30-2026
LYBWLP	https://app.hampalyzer.com/parsedlogs/fun-2026-May-22-22-17/	https://www.tfcstats.com/pickup/fun-stuff-central-schtop-may-22-2026
DMZYYM	https://app.hampalyzer.com/parsedlogs/fun-2025-Nov-8-21-47/	https://www.tfcstats.com/pickup/fun-stuff-central-shutdown2-lg2-nov-8-2025
DLJCTH	https://app.hampalyzer.com/parsedlogs/fun-2026-Jan-16-19-57/	https://www.tfcstats.com/pickup/fun-stuff-east-viridian-jan-16-2026
N532BN	https://app.hampalyzer.com/parsedlogs/fun-2026-Jun-5-24-08/	https://www.tfcstats.com/pickup/fun-stuff-central-siege-jun-5-2026
7ACGM8	https://app.hampalyzer.com/parsedlogs/fun-2026-Feb-6-21-19/	https://www.tfcstats.com/pickup/fun-stuff-east-alchimy-lg-feb-6-2026
Z95L7F	https://app.hampalyzer.com/parsedlogs/fun-2025-Oct-18-24-40/	https://www.tfcstats.com/pickup/fun-stuff-round-1-score-60-alchimy-lg-oct-18-2025
CWJ2HF	https://app.hampalyzer.com/parsedlogs/fun-2025-Nov-2-15-19/	https://www.tfcstats.com/pickup/fun-stuff-shutdown2-lg2-nov-2-2025
8R4F3W	https://app.hampalyzer.com/parsedlogs/fun-2026-Mar-15-19-19/	https://www.tfcstats.com/pickup/fun-stuff-east-orbit-tfp-mar-15-2026
SPF34V	https://app.hampalyzer.com/parsedlogs/fun-2026-Apr-26-18-06/	https://www.tfcstats.com/pickup/fun-stuff-east-siege-apr-26-2026
UPH87L	https://app.hampalyzer.com/parsedlogs/fun-2026-Apr-14-23-44/	https://www.tfcstats.com/pickup/fun-stuff-central-schtop-apr-14-2026
D8AZX4	https://app.hampalyzer.com/parsedlogs/fun-2026-Mar-22-19-04/	https://www.tfcstats.com/pickup/fun-stuff-central-openfire-lowgrens-mar-22-2026
RVN467	https://app.hampalyzer.com/parsedlogs/fun-2026-Jun-15-20-15/	https://www.tfcstats.com/pickup/fun-stuff-east-monkey-lg-jun-15-2026
