PlayerId,DisplayName,GameIndex,Date,MatchId,Map,Server,Team,Teammates,Opponents,Winner,Before,Delta,After
566457339192803328,KIMBEEZY,1,2026-04-24T16:33:23.258Z,QM5C2K,ostargh,TFC East US Server,Blue,"dullrazor, rufi0, Death","KuKu Bird, Moreno, RedAlert, the Paper",RED,1441,-17,1424
126107614240178176,Carbon,1,2025-09-23T03:45:41.000Z,QVXAQJ,copper,TFC East US Server,Blue,"SLICK, KuKu Bird, KingOfPests","Death, Moreno, the Paper, dullrazor",BLUE,1456,45,1501
562854514860752897,SLICK,1,2025-09-23T03:45:41.000Z,QVXAQJ,copper,TFC East US Server,Blue,"Carbon, KuKu Bird, KingOfPests","Death, Moreno, the Paper, dullrazor",BLUE,1865,45,1910
705975829410217996,KuKu Bird,1,2025-09-23T03:45:41.000Z,QVXAQJ,copper,TFC East US Server,Blue,"Carbon, SLICK, KingOfPests","Death, Moreno, the Paper, dullrazor",BLUE,1185,45,1230
929631116044955648,KingOfPests,1,2025-09-23T03:45:41.000Z,QVXAQJ,copper,TFC East US Server,Blue,"Carbon, SLICK, KuKu Bird","Death, Moreno, the Paper, dullrazor",BLUE,1456,45,1501
241378469454413834,Death,1,2025-09-23T03:45:41.000Z,QVXAQJ,copper,TFC East US Server,Red,"Moreno, the Paper, dullrazor","Carbon, SLICK, KuKu Bird, KingOfPests",BLUE,2185,-15,2170
1291623909950754817,Moreno,1,2025-09-23T03:45:41.000Z,QVXAQJ,copper,TFC East US Server,Red,"Death, the Paper, dullrazor","Carbon, SLICK, KuKu Bird, KingOfPests",BLUE,1915,-15,1900
193225438355652608,the Paper,1,2025-09-23T03:45:41.000Z,QVXAQJ,copper,TFC East US Server,Red,"Death, Moreno, dullrazor","Carbon, SLICK, KuKu Bird, KingOfPests",BLUE,1185,-15,1170
737481545216163891,dullrazor,1,2025-09-23T03:45:41.000Z,QVXAQJ,copper,TFC East US Server,Red,"Death, Moreno, the Paper","Carbon, SLICK, KuKu Bird, KingOfPests",BLUE,600,-15,585
126107614240178176,Carbon,2,2025-09-25T02:21:12.000Z,LLZY65,torch2,TFC East US Server,Blue,"killu, KingOfPests, omeN","the Paper, Moreno, dullrazor, rufi0",BLUE,1501,15,1516
742572718095859793,killu,1,2025-09-25T02:21:12.000Z,LLZY65,torch2,TFC East US Server,Blue,"Carbon, KingOfPests, omeN","the Paper, Moreno, dullrazor, rufi0",BLUE,1300,15,1315
929631116044955648,KingOfPests,2,2025-09-25T02:21:12.000Z,LLZY65,torch2,TFC East US Server,Blue,"Carbon, killu, omeN","the Paper, Moreno, dullrazor, rufi0",BLUE,1501,15,1516
404362334988140554,omeN,1,2025-09-25T02:21:12.000Z,LLZY65,torch2,TFC East US Server,Blue,"Carbon, killu, KingOfPests","the Paper, Moreno, dullrazor, rufi0",BLUE,1441,15,1456
193225438355652608,the Paper,2,2025-09-25T02:21:12.000Z,LLZY65,torch2,TFC East US Server,Red,"Moreno, dullrazor, rufi0","Carbon, killu, KingOfPests, omeN",BLUE,1170,-15,1155
1291623909950754817,Moreno,2,2025-09-25T02:21:12.000Z,LLZY65,torch2,TFC East US Server,Red,"the Paper, dullrazor, rufi0","Carbon, killu, KingOfPests, omeN",BLUE,1900,-15,1885
737481545216163891,dullrazor,2,2025-09-25T02:21:12.000Z,LLZY65,torch2,TFC East US Server,Red,"the Paper, Moreno, rufi0","Carbon, killu, KingOfPests, omeN",BLUE,585,-15,570
468578577537826831,rufi0,1,2025-09-25T02:21:12.000Z,LLZY65,torch2,TFC East US Server,Red,"the Paper, Moreno, dullrazor","Carbon, killu, KingOfPests, omeN",BLUE,2000,-15,1985
562854514860752897,SLICK,2,2025-09-25T03:04:27.000Z,CE4Q6H,cranked,TFC East US Server,Blue,"rufi0, the Paper, KuKu Bird","Moreno, omeN, Carbon, KingOfPests",RED,1910,-15,1895
468578577537826831,rufi0,2,2025-09-25T03:04:27.000Z,CE4Q6H,cranked,TFC East US Server,Blue,"SLICK, the Paper, KuKu Bird","Moreno, omeN, Carbon, KingOfPests",RED,1985,-15,1970
193225438355652608,the Paper,3,2025-09-25T03:04:27.000Z,CE4Q6H,cranked,TFC East US Server,Blue,"SLICK, rufi0, KuKu Bird","Moreno, omeN, Carbon, KingOfPests",RED,1155,-15,1140
705975829410217996,KuKu Bird,2,2025-09-25T03:04:27.000Z,CE4Q6H,cranked,TFC East US Server,Blue,"SLICK, rufi0, the Paper","Moreno, omeN, Carbon, KingOfPests",RED,1230,-15,1215
1291623909950754817,Moreno,3,2025-09-25T03:04:27.000Z,CE4Q6H,cranked,TFC East US Server,Red,"omeN, Carbon, KingOfPests","SLICK, rufi0, the Paper, KuKu Bird",RED,1885,15,1900
404362334988140554,omeN,2,2025-09-25T03:04:27.000Z,CE4Q6H,cranked,TFC East US Server,Red,"Moreno, Carbon, KingOfPests","SLICK, rufi0, the Paper, KuKu Bird",RED,1456,15,1471
