match_id	hampalyzer_url	tfcstats_url	preferred_source
RHJ2QQ	https://app.hampalyzer.com/parsedlogs/fun-2026-Jan-6-22-13/	https://www.tfcstats.com/pickup/fun-stuff-central-demolish2-b5-jan-6-2026	tfcstats
QR6Y4J	https://app.hampalyzer.com/parsedlogs/fun-2026-Jun-10-21-45/	https://www.tfcstats.com/pickup/fun-stuff-central2-monkey-lg-jun-10-2026	tfcstats
4Y6LJJ	https://app.hampalyzer.com/parsedlogs/fun-2026-Jun-5-16-05/	https://www.tfcstats.com/pickup/fun-stuff-east-fry-baked-lg-jun-5-2026	tfcstats
SSH3X5	https://app.hampalyzer.com/parsedlogs/fun-2025-Sep-27-03-55/		hampalyzer
VWE3Q5	https://app.hampalyzer.com/parsedlogs/fun-2026-Jan-24-03-23/	https://www.tfcstats.com/pickup/fun-stuff-east-alchimy-lg-jan-24-2026	tfcstats
7L3EDD	https://app.hampalyzer.com/parsedlogs/fun-2025-Oct-23-19-42/	https://www.tfcstats.com/pickup/fun-stuff-destroy-l-oct-23-2025	tfcstats
CXUBW3	https://app.hampalyzer.com/parsedlogs/fun-2025-Oct-2-19-19/		hampalyzer
EREQMB	https://app.hampalyzer.com/parsedlogs/fun-2025-Nov-23-14-50/	https://www.tfcstats.com/pickup/fun-stuff-central-cranked-nov-23-2025	tfcstats
5HW9WL	https://app.hampalyzer.com/parsedlogs/fun-2026-Mar-28-01-12/	https://www.tfcstats.com/pickup/fun-stuff-central-cranked-mar-28-2026	tfcstats
XUCBA8	https://app.hampalyzer.com/parsedlogs/fun-2026-Feb-26-02-10/	https://www.tfcstats.com/pickup/fun-stuff-central-toasted-b16-feb-26-2026	tfcstats
H4Y2VQ	https://app.hampalyzer.com/parsedlogs/fun-2026-Jan-18-20-01/		hampalyzer
MA9UA3	https://app.hampalyzer.com/parsedlogs/fun-2026-Feb-22-17-57/	https://www.tfcstats.com/pickup/fun-stuff-east-alchimy-lg-feb-22-2026	tfcstats
ZEGWDU	https://app.hampalyzer.com/parsedlogs/fun-2026-Mar-22-16-37/	https://www.tfcstats.com/pickup/fun-stuff-east-cranked-mar-22-2026	tfcstats
LMYNP4	https://app.hampalyzer.com/parsedlogs/fun-2025-Oct-14-20-21/	https://www.tfcstats.com/pickup/fun-stuff-round-1-score-50-demolish2-b4r-oct-14-2025	tfcstats
RBELAZ	https://app.hampalyzer.com/parsedlogs/fun-2026-Jun-9-22-47/	https://www.tfcstats.com/pickup/fun-stuff-east-phantom-lg-jun-9-2026	tfcstats
W67EQ9	https://app.hampalyzer.com/parsedlogs/fun-2026-Jan-17-18-18/	https://www.tfcstats.com/pickup/fun-stuff-central-stormz2-lg-jan-17-2026	tfcstats
M5PQPH	https://app.hampalyzer.com/parsedlogs/fun-2026-Feb-6-22-01/	https://www.tfcstats.com/pickup/fun-stuff-central-demolish2-b5-feb-6-2026	tfcstats
HVBTQ2	https://app.hampalyzer.com/parsedlogs/fun-2025-Oct-2-17-24/		hampalyzer
MT2XDX	https://app.hampalyzer.com/parsedlogs/fun-2025-Oct-20-18-44/	https://www.tfcstats.com/pickup/fun-stuff-phantom-lg-oct-20-2025	tfcstats
PW8VSL	https://app.hampalyzer.com/parsedlogs/fun-2026-Jan-12-20-02/	https://www.tfcstats.com/pickup/fun-stuff-east-schtop-jan-12-2026	tfcstats
ZJLDBY	https://app.hampalyzer.com/parsedlogs/fun-2025-Nov-8-24-50/	https://www.tfcstats.com/pickup/fun-stuff-central-siege-nov-8-2025	tfcstats
BCJ739	https://app.hampalyzer.com/parsedlogs/fun-2025-Sep-29-22-44/		hampalyzer
K57ZYH	https://app.hampalyzer.com/parsedlogs/fun-2025-Sep-29-18-50/		hampalyzer
X4DR8G	https://app.hampalyzer.com/parsedlogs/fun-2026-Mar-19-03-56/	https://www.tfcstats.com/pickup/fun-stuff-central-cranked-mar-19-2026	tfcstats
EFQK53	https://app.hampalyzer.com/parsedlogs/fun-2026-Mar-13-01-55/	https://www.tfcstats.com/pickup/fun-stuff-central-congestus-lg-mar-13-2026	tfcstats
2TP2PW	https://app.hampalyzer.com/parsedlogs/fun-2026-Feb-6-04-28		hampalyzer
KXGKXG	https://app.hampalyzer.com/parsedlogs/fun-2025-Dec-10-20-59/	https://www.tfcstats.com/pickup/fun-stuff-east-demolish2-b4r-dec-10-2025	tfcstats
5G6Z5X	https://app.hampalyzer.com/parsedlogs/fun-2026-Jun-10-24-53/	https://www.tfcstats.com/pickup/fun-stuff-central2-fry-baked-lg-jun-10-2026	tfcstats
5CJK54	https://app.hampalyzer.com/parsedlogs/fun-2025-Dec-17-20-58/		hampalyzer
9C9JVA	https://app.hampalyzer.com/parsedlogs/fun-2025-Nov-14-16-20/	https://www.tfcstats.com/pickup/fun-stuff-central-phantom-lg-nov-14-2025	tfcstats
